Skilt nr.,Fraktion,Bemærkninger
,Acrylplast,
666,Airbags (ikke udløste),Kontakt Vestforbrændings kundeservice på tlf. 80 20 80 30 for nærmere.
42,Airbags (udløste),"Airbags skal være udløst. Hvis ikke, kontakt Vestforbrændings kundeservice på tlf. 80 20 80 30 for nærmere."
,Airconditioner,
80,Akkumulatorer,Henvendelse til opsynet
17,Akrylplader,
,Alufolie - rent,
1,Aluminium,
,Ammunition,
,Apparater til medicinsk brug,
,Appelsinskaller,
,Appelsinskaller (Øko),
65,Asbest,
16,Asfalt,"Hvis genbrugsstationen ikke har fraktionen Asfalt, skal fraktionen i container 62"
62,Aske,Må ikke indeholde gløder
20,Auto dæk,"Med og uden fælge. hvis dækkene er grønne af alger, skal de i 42 (småt brændbart)"
,Autodæk med fælge,
60,Autoruder,
12,Aviser,Poser skal tømmes
,Avokadosten,
62,Badebassin,Kan indholde pvc
62,Badebolde,Kan indeholde PVC
62,Badedyr,Kan indeholde PVC
,Badekar - porcelæn,
,Bagepapir,
42,Bagklap til biler (glasfiber),
17,Baljer,
,Bambus,
,Bananskræller,
,Barnevogne,
,"Barnevogne, overdel",
,"Barnevogne, stel",
80,Baser,Henvendelse til opsynet
80,Batterier,Henvendelse til opsynet
,Batterioplader,
80,Benzin,Henvendelse til opsynet
1,Benzintank,Skal være tømt for benzin
8,Beton,
62,Bidet,
,Bildæk,
,Bildæk med fælge,
32,Bilradio,
62,Bilruder,
1,Bilsæder,
,Bind,
,Bjørneklo,
9,Blade fra træer,Poser skal tømmes
,Blandingsbatterier,
,Bleer,
,Blokbagsider,
1,Bly,
60,Blyruder,
42,Blækpatroner,
17,Bobslæde i plast,
40,Boksmadrasser,
,Bordplade med kakler,
50,Bordplader,
8,Bordplader - marmor,
62,Bordplader - med kakler,
8,Bordplader - skiffer,
,Bordplader - stål,
,Bordplader - terrazzo,
,Bordplader - træ,
,Boremaskine,
,Branddøre,
,Brandslukkere,
,Brevpapir,
,Bruseniche,
,Brusevæg med plexiglas,
50,Brædder,
,Brændbart affald,
,Brændeovn,
,Brødrester,
9,Buske,
9,Buskrødder,
30,Bærbar computer,
,Bærbar computer - kun skærm,
42,Bøger,
,Bølgeeternit plader,
,Bølgepap,
32,Båndoptager,
,Cd-afspiller,
,CDer og DVDer,
,Cement,
,Citronskaller,
,Citronskaller (Øko),
,Computer,
,Computerudstyr - uden skærm,
,Creme,
1,Cykler,
666,Dagrenovation,
,Dieselolie,
,Drikkeglas,
17,Dunke,
,DVD-afspiller,
,Dybfryser,
,Dyner,
,Dæk,
,Dæk - algebefængt,
,Dæk - grønne landbrugsdæk,
,Dæk med fælge,
,Døre,
,Døre med glas,
,Dåser,
,"Dåser, urene",
,EDB-udstyr,
,Eddikedunke,
,Elektrisk skrivemaskine,
,Elektriske musikinstrumenter,
,Elevationssenge,
,El-hegn,
,El-hækkeklipper,
,El-høvl,
,El-kogekedel,
,El-legetøj,
62,Elmaster,
,El-motor,
,El-orgel,
62,El-pærer,Gælder kun pærer med glødetråd. Andre slags pærer skal afleveres som farligt affald
,El-radiatorer,
,El-stiksav,
,El-værktøj,
,Emballageglas,
,Emhætter,
,Energisparepærer,
,Engangspaller,
,Eternit,
60,Fibercement,Fibercement er et blandingsprodukt som endnu ikke kan bruges i beton fraktionen.
60,Fiberplank,
,Fittings,
,Fittings PVC,
,Fjedermøbler,
,Fjernsyn,
,Fladskærme,
,Flamingo,
,Flasker,
,Flis,
,Fliser - beton,
,Fliser - glaseret,
,Flygel - med jernramme,
,Flyttekasser,
,Flyvehavre,
,Forlængerledning,
,Forstærkere,
,Fortynder,
,Fotokemikalier,
,Fritureolie,
,Frysebokse,
,Frysere,
,Frysetaske,
,Fyrværkeri,
1,Fælge,Uden dæk
,Fælge (uden dæk),
,Fødevareemballage,
,Føntørrer,
,Gasbeholdere,
,Gasbeton,
,Gasflasker,
,Gaskomfur,
,Gasvarmeovn,
,Ghettoblaster,
,Gips,
62,Gips med isolering,Hvis fraktionerne ikke kan skilles
62,Gips med lægter,Hvis fraktioner ikke kan skilles
,Glasfiber,
62,Glasuld,
,Glasvæv,
,Glattejern,
,Glødepærer,
,Grapefrugtskaller,
,Grapefrugtskaller (Øko),
,Grene,
,Grus,
,Gryder,
9,Græs,
,Gulvtæpper,
,Gummistøvler,
,Gødning - flydende,
,Gødning - NPK,
,Halm,
,Halogenlamper - metal,
,Halogenpærer,
,Hammer,
,Harddisk,
9,Haveaffald,Poser og kasser skal tømmes
,Havebassiner,
,Havemøbler af plast,
,Havemøbler af træ,
,Haveslanger,
,Hegn,
,Hundeefterladenskaber,
666,Husholdningsaffald,
,Husholdningsglas,
,Hynder af skumgummi,
,Hækafklip,
,Hæve-/sænkeborde,
,Højtaler,
,Hørisolering,
,Håndvask - porcelæn,
,Håndvask - stål,
,Håndvaske,
17,Hård plast,PVC og plasthavemøbler må ikke komme i denne container.
,Hård PVC,
,Hårde hvidevarer,
,Hårlak,
,Hårtørrer,
,Ildslukkere,
43,Imp. træ,
,Imprægneret træ,
,Indbygningsovn,
,Ipod,
,Isolering,
,Isoleringsmateriale,
,Isoleringsskum,
,Ispinde,
,Jern,
,Jernbanesveller,
,Jord,
,Juletræ,
,Juletræskæder,
,Kabelbakker - jern,
,Kabelbakker - PVC,
23,Kabler,Ingen elektronik
,Kaffekande af glas,
,Kaffemaskine,
,Kagerester,
,Kakkelovn,
,Kampesten,
666,Kanin møg,Modtages ikke på genbrugsstationen. Hører til i dagrenovationen.
,Kanyler,
,Karklude,
,Karton,
,Kassettebånd,
,Kemikalieflasker - tomme,
,Kemikalier,
,Keramik,
,Keramikkrukker,
,Ketchupflasker - rent,
1,Klaver,
,Klaver - med jernramme,
666,Klinisk risikoaffald,
,Kloakrør - beton,
,Kloakrør - PVC,
,Knapceller,
,Knust vinduesglas,
,Kobber,
,Koblingsvæske,
,Kofangere,
,Komfur,
50,Komode,
,Kondensator,
,Kondisko m. lys i,
,Konservesdåser,
,kontorpapir,
,Kontorstole,
,Konvolutter,
,Kopimaskine,
,Kopimaskine - lille,
,Korkpropper,
80,Kosmetik,
,Kraftigt papir,
43,Kreosot-imprægneret træ,
,Krudt,
,Krøllejern,
,Kuverter,
,Kviksølv,
,Kviste,
,Kæledyrsaffald,
,Køkkenbordsplader - stål,
32,Køkkenmaskiner,
,Køkkenmaskiner - elektriske,
,Køkkenrulle,
,Køkkenrulle (med tryk eller kødsaft),
,Køkkenrulle (uden tryk eller kødsaft),
,Køkkenvaske,
,Køleskabe,
,Lak,
,Lamelbund - træ,
,Lameller - træ,
30,Laptop,
,Laptop - kun skærm,
,Laptop - uden skærm,
,Lastbildæk,
,Lastbildæk med fælge,
,Lavenergipærer,
,Leca,
,Ledning,
23,Ledninger,Ingen elektronik
,Legehus i plast,
,Legetøj - elektronisk,
,Ler,
,Limeskaller,
,Limeskaller (Øko),
,Linoleum,
42,Litex plader,
,Lysstofrør,
,Madpapir,
,Madrasser - skum,
,Madrasser - spring,
,Madrester,
,Magasiner,
,Make up,
,Malerspande af metal,
,Malerspande af plast,
,Maling,
40,Markedsparasoller,
,Markiser,
,Marmeladeglas - rent,
,Marmor,
666,Marsvin møg,Modtages ikke på genbrugsstationen. Hører til i dagrenovationen.
,Massagestol,
,MDF plader,
,Medicin,
,Medicinrester,
50,Melaminplade,
,Messing,
,Metal,
81,Metalhalogenlamper,
,Metalspande,
,Metaltromler (tomme),
,Microbølgeovn,
,Miljøfarligt affald,
,Mineraluld,
,Miniovne,
,Mobiltelefon,
,Monitorer,
,Motorer,
,Mursten,
,Musikanlæg,
,Mælkekartoner,
50,Møbler,
,Møbler med jernstel/ramme,
666,Møg fra mindre husdyr,Modtages ikke på genbrugsstationen. Hører til i dagrenovationen. Eller spørg hos kommunen.
,Mørtel,
,Måleskab (el) med indhold,
,Måleskab (el) uden indhold,
,Måleudstyr,
,Natursten,
,Nedløbsrør - metal,
,Nedløbsrør - PVC,
,Neglelak,
,Neonrør,
,Nutellaglas - rent,
,Nåle,
,Olie,
,Oliefilter,
,Olieholdige klude,
40,Ondulinetagplader (over 1 m),
42,Ondulinetagplader (under 1 m),
,Opvaskebørster,
6,Opvaskemaskiner,
,Orgel (ej elektrisk),
,Orgel (elektrisk),
,Paller,
28,Pap,
12,Papir,
,Papiruld,
,Papkasser,
17,Parasolfødder (plast),
,Parfume,
,Patroner,
,PC,
,PC mus,
,PC skærme,
,Persienner af metal,
,Persienner af plast,
,Pesticider,
,Petroleum,
,Pexrør,
32,Piano,Hvis det er elektrisk
,Piano - med jernramme,
,Piller,
62,Pimpsten,Støvende materiale.
,Plasfolie - ej i ktkt m. fødevare,
17,Plastdunke,Må ikke indeholde plastdunke der har indeholdt faremærket væsker. X-mærket (lokalirriterende) må dog gerne komme i containeren.
,Plastdunke (fødevarer),
,Plastdunke (rengøringsmidler),
21,Plastfolie,Må ikke have været i kontakt med fødevare
,Plastfolie - rent,
,Plastic,
,Plastspande,
,Plexiglas,
,Plæneklipper,
60,Porcelæn,
,"Presenninger, kraftige",
,Printere,
,Projektiler,
,Pulverslukker,
,PVC blød,
,PVC brønde,
,PVC fitting,
,PVC lister,
,PVC nedløbsrør,
,PVC profiler,
,PVC rør,
,PVC tagrender,
,PVC trapetzplader,
,Pærer (glødepærer),
,Radiator,
,Radiator - (støbe)jern,
,Radio,
17,Regnvandstønde,Tag PVC test. Hvis PVC så i 18.
,Regnvandstønde - plast,
,Reklamer,
,Rengøringsmidler,
,Rockwool,
,Rudekuverter,
,Ruder,
,Rulleskøjter,
,Rundsav,
,Rystepudser,
,Rødder,
,Røgalarm,
,Saks,
7,Sand,
,Sanitet,
,Scanner,
,Seng - træ,
,Sengebunde,
,Sengelameller - træ,
,Sengetøj,
,Sennepsglas - rent,
,Servietter,
,Sikringer af porcelæn,
,Skabe,
40,Skabslåger med spejle/glas,
,Ski,
,Ski tag boks,
,Skifferplade,
,Skistøvler,
,Sko,
,Skrivemaskine (elektrisk),
,Skrivemaskine (uden ledning),
,Skumgummi,
,Skumgummi madrasser,
,Skøjter,
,Slagger,
,Sminke,
,Småt brændbart,
1,Småt metal,
,Sod fra ovne,
,Sod fra skorstene,
,Sodavandsdåser,
,Sofa,
,Solarier uden rør,
,Solarierør,
,Solceller,
,Spande (plast),
,Spejle,
,Spraydåser,
,Springmadrasser,
,Sprinklervæskedunke,
,Sprit,
,Sprøjtegifte,
50,Spånplade,
,Stabilgrus (med jord),
,Stabilgrus (rent),
,Sten,
,Stentøj,
,Stereoanlæg,
,Stift papir,
,Stikdåse,
,Stole,
50,Stole i træ,
1,Stort metal,
,Strygejern,
9,Stråtage,Må ikke indeholde ståltråde brugt til binding
,Stråtage - uden ståltråd,
,Stød,
,Støvler,
,Støvsuger,
,Støvsugerposer,
,Surfboards,
,Svampe,
,Syltetøjsglas - rent,
,Symaskiner,
,Syrer,
,Sæber,
,Sølvpapir,
,Tag boks (ski),
,Tagpap,
,Tagplader jern,
,Tagplader PVC,
,"Tagrender, jern",
,"Tagrender, PVC",
,Tagsten,
,Tandbørste (elektrisk),
,Tegl,
,Telefon,
12,Telefon bøger,
,Telefonbøger,
,Telefoner,
,Telefonsvarer,
,Termokande,
,Termometer,
,Terpentin,
,Terrazzo,
,Toiletter,
,Tonerpatroner,
,Traktordæk,
,Traktordæk med fælge,
,Transformator,
,Transistorradio,
62,Trapezplader med lægter,Trapezplader skal i PVC. Lægter af tryk imp træ skal i container for tryk imp. træ. Trapezplader med mange lægter skal i deponi.
62,Troldtex akustik plader,
43,Tryk imprægneret træ,
,Trykflasker,
,Trykimprægneret træ,
43,Tryktræ,
,Træ behandlet med træbeskyttelse,
62,Træbeton,
50,Trædøre uden glas,
40,Trægulv m. linoleum (over 1 m),
42,Trægulv m. linoleum (under 1 m),
50,Træmøbler,
40,Træplader med tagpap (over 1 m),
42,Træplader med tagpap (under 1 m),
,Trærødder,
,Træstød,
,Tunere,
,Tv-apparater,
,Tæpperør af plast,
,Tøj,
,Tørretumbler,
,Ugeblade,
,Ukrudtsdampere,
,Urtepotter (plast),
,Urtepotter (porcelæn/keramik),
,Vakuumimprægneret træ,
,Vandsenge,
,Vandski,
,Vandslanger,
,Varmeblæser,
,Varmeovn,
,Varmeskab,
,Varmeveksler,
,Varmeventilator?,
,Vaskemaskine,
,Vatpinde,
,VHS-bånd,
,Videobånd,
,Videomaskine,
,Vinduesglas - hele,
5,Vinduesglas hele,
,Vinduesglas knust,
60,Vinduesglas med farvet glas,
,Vinflasker,
,Vintermåtter,
,Vinyl,
,Vitaminer,
,Vådrumsgips,
,Walkman,
,Webcam,
,Zink,
,Æggebakker,
,Æggebakker/plast,
,Økse,
,Øldåser,